source,caption,timestamp,likes,comments,shares,saves,plays,accounts_reached,word_count,hashtag_count,is_long_caption,is_trial_reel,content_type,hour,weekday,month,is_duplicate_caption,likes_per_view,comments_per_view,shares_per_view,saves_per_view
reel,"The best 3 exercises for glutes 🍑 
1. Hip thrust 
2. Romanian deadlift (RDL)
3. Hip abduction 
+ step ups as well 

Wearing the @gymshark @gymsharkwomen 
.
.
.
.
.
.
#gymshark #gymmotivation #gymsharkwoman #gym #girlswholift",2025-07-26 00:10:14-07:00,53,0,20,14,2173,2161,36,5,False,True,workout,0,Saturday,July,True,0.024390243902439025,0.0,0.009203865623561895,0.006442705936493327
reel,"The best 3 exercises for glutes 🍑 
1. Hip thrust 
2. Romanian deadlift (RDL)
3. Hip abduction 
+ step ups as well 

Wearing the @gymshark @gymsharkwomen 
.
.
.
.
.
.
#gymshark #gymmotivation #gymsharkwoman #gym #girlswholift",2025-07-26 00:08:00-07:00,430,12,69,137,9016,8924,36,5,False,False,workout,0,Saturday,July,True,0.04769299023957409,0.0013309671694764862,0.007653061224489796,0.015195208518189885
reel,"One thing about me… if I'm not wearing the brightest colours in the gym, I'm probably not having a good workout 😂

I'm literally the only one showing up in hot pink pants, so yeah I'm definitely getting some stares and probably a few people wondering if I'm okay 🤣🤣

I just love dressing up, it boosts my mood, keeps things fun, and honestly makes the gym feel like my runway.
.
.
.
@gymshark @gymsharkwomen @gymsharklifting 
#girlswholift #gym #gymmotivation #womenwholift #gymlife #girlpower #weightlosstransformation",2025-07-25 00:28:56-07:00,4446,68,4785,2431,216009,210499,82,7,True,False,workout,0,Friday,July,True,0.02058247573017791,0.0003148016980773949,0.022151854783828452,0.011254160706266869
reel,"One thing about me… if I'm not wearing the brightest colours in the gym, I'm probably not having a good workout 😂

I'm literally the only one showing up in hot pink pants, so yeah I'm definitely getting some stares and probably a few people wondering if I'm okay 🤣🤣

I just love dressing up, it boosts my mood, keeps things fun, and honestly makes the gym feel like my runway.
.
.
.
@gymshark @gymsharkwomen @gymsharklifting 
#girlswholift #gym #gymmotivation #womenwholift #gymlife #girlpower #weightlosstransformation",2025-07-25 00:11:01-07:00,1328,20,2632,808,62789,62570,82,7,True,True,workout,0,Friday,July,True,0.02115020146841007,0.00031852713054834447,0.04191817038016213,0.012868496074153116
reel,"Come with me to do upper body (shoulders, triceps and chest focus) 💟 

1. Shoulder Press - 3 sets x 10, 8, 6
2. Lateral raises - 3 sets x 10, 8, 6
3. Bench Press - 3 sets of 10, 8, 6
4. Tricep Pushdown - 3 sets of 10, 8, 6
6. Cardio - Treadmill (15 minutes) 

(My form isn't perfect but I am putting in the effort to make sure it is one day) 

Wearing the @gymshark @gymsharkwomen energized seamless leggings 
.
.
.
.
.
.
#gymshark #gymmotivation #gymsharkwoman #gym #girlswholift",2025-07-23 23:58:51-07:00,415,17,61,137,15108,14360,94,5,True,False,workout,23,Wednesday,July,True,0.027468890653958168,0.0011252316653428648,0.004037595975642044,0.009068043420704263
reel,"Come with me to do upper body (shoulders, triceps and chest focus) 💟 

1. Shoulder Press - 3 sets x 10, 8, 6
2. Lateral raises - 3 sets x 10, 8, 6
3. Bench Press - 3 sets of 10, 8, 6
4. Tricep Pushdown - 3 sets of 10, 8, 6
6. Cardio - Treadmill (15 minutes) 

(My form isn't perfect but I am putting in the effort to make sure it is one day) 

Wearing the @gymshark @gymsharkwomen energized seamless leggings 
.
.
.
.
.
.
#gymshark #gymmotivation #gymsharkwoman #gym #girlswholift",2025-07-23 23:54:17-07:00,29,0,3,8,1739,1757,94,5,True,True,workout,23,Wednesday,July,True,0.01667625071880391,0.0,0.0017251293847038527,0.004600345025876941
reel,"6 months. 8 kgs down. Countless lessons gained.

This is my transformation from January to July and it's not just about the weight I lost, but the discipline I built, the mindset I rewired, and the confidence I earned.

It wasn't always easy. I wasn't always motivated. But I showed up for me.

Every month is a version of me who kept going, even on the hard days.
It's not impossible. You just have to start.

📍 Jan 1 – 148.8 lbs
📍 Jul 1 – 130.7 lbs
Total: 18.1 lbs / 8.2 kg down",2025-07-22 22:58:51-07:00,63,0,20,18,2671,2691,93,0,True,True,transformation,22,Tuesday,July,True,0.02358667165855485,0.0,0.007487832272557095,0.0067390490453013855
reel,"6 months. 8 kgs down. Countless lessons gained.

This is my transformation from January to July and it's not just about the weight I lost, but the discipline I built, the mindset I rewired, and the confidence I earned.

It wasn't always easy. I wasn't always motivated. But I showed up for me.

Every month is a version of me who kept going, even on the hard days.
It's not impossible. You just have to start.

📍 Jan 1 – 148.8 lbs
📍 Jul 1 – 130.7 lbs
Total: 18.1 lbs / 8.2 kg down",2025-07-22 22:58:13-07:00,929,30,320,374,27084,25780,93,0,True,False,transformation,22,Tuesday,July,True,0.03430069413675971,0.0011076650420912715,0.011815093782306897,0.013808890858071186
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:52:10-07:00,380,13,104,148,17430,17016,33,6,False,False,other,0,Tuesday,July,True,0.021801491681009755,0.0007458405048766495,0.005966724039013196,0.008491107286288008
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:39:43-07:00,31,0,17,13,1940,1932,33,6,False,True,other,0,Tuesday,July,True,0.015979381443298968,0.0,0.008762886597938144,0.006701030927835051
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:39:00-07:00,13,0,5,5,1454,1448,33,6,False,True,other,0,Tuesday,July,True,0.008940852819807428,0.0,0.0034387895460797797,0.0034387895460797797
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:38:27-07:00,20,0,1,9,1622,1619,33,6,False,True,other,0,Tuesday,July,True,0.012330456226880395,0.0,0.0006165228113440197,0.005548705302096177
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:38:00-07:00,31,0,20,12,1997,1972,33,6,False,True,other,0,Tuesday,July,True,0.015523284927391086,0.0,0.010015022533800702,0.006009013520280421
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:37:30-07:00,64,0,74,31,3258,3269,33,6,False,True,other,0,Tuesday,July,True,0.019643953345610803,0.0,0.022713321055862493,0.009515039901780233
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:37:01-07:00,23,1,9,6,1502,1513,33,6,False,True,other,0,Tuesday,July,True,0.015312916111850865,0.0006657789613848203,0.005992010652463382,0.0039946737683089215
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:36:27-07:00,35,0,22,12,1904,1835,33,6,False,True,other,0,Tuesday,July,True,0.01838235294117647,0.0,0.011554621848739496,0.0063025210084033615
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:35:57-07:00,29,0,12,10,1334,1339,33,6,False,True,other,0,Tuesday,July,True,0.021739130434782608,0.0,0.008995502248875561,0.0074962518740629685
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:35:20-07:00,31,1,22,9,1795,1789,33,6,False,True,other,0,Tuesday,July,True,0.017270194986072424,0.0005571030640668524,0.012256267409470752,0.005013927576601671
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:34:52-07:00,36,1,26,20,2341,2335,33,6,False,True,other,0,Tuesday,July,True,0.015378043571123452,0.00042716787697565144,0.011106364801366937,0.00854335753951303
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:34:19-07:00,54,3,16,15,2695,2656,33,6,False,True,other,0,Tuesday,July,True,0.020037105751391466,0.0011131725417439704,0.005936920222634508,0.0055658627087198514
reel,"They talk behind your back because you're doing what they won't. Keep showing up. Let your discipline speak louder than their words.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-22 00:31:39-07:00,54,0,43,28,3391,3384,33,6,False,True,other,0,Tuesday,July,True,0.015924506045414333,0.0,0.012680625184311413,0.008257151282807431
reel,"What I wish I knew before I started lifting:
	1.	All progress starts with not knowing what you're doing. Everyone starts confused, lost, and unsure and that's okay.
	2.	You can't outtrain inconsistency. Discipline is what builds results. 
	3.	It's supposed to be hard. But so is feeling stuck in a body you're not proud of. Choose your hard.

If you're just starting, keep going.",2025-07-20 01:00:37-07:00,471,12,85,150,19114,18200,65,0,True,False,transformation,1,Sunday,July,True,0.024641623940567122,0.0006278120749189076,0.004447002197342263,0.007847650936486344
reel,"What I wish I knew before I started lifting:
	1.	All progress starts with not knowing what you're doing. Everyone starts confused, lost, and unsure and that's okay.
	2.	You can't outtrain inconsistency. Discipline is what builds results. 
	3.	It's supposed to be hard. But so is feeling stuck in a body you're not proud of. Choose your hard.

If you're just starting, keep going.",2025-07-20 00:56:44-07:00,57,1,21,22,2660,2657,65,0,True,True,transformation,0,Sunday,July,True,0.02142857142857143,0.00037593984962406017,0.007894736842105263,0.008270676691729323
reel,"Strong leg day incoming 💥
	1.	Leg Extensions — 3 sets: 10, 6, 4 reps
	2.	Hack Squat — 3 sets: 10, 6, 4 reps
	3.	Leg Press — 3 sets: 10, 6, 4 reps
	4.	Calf Raises — 3 sets: 10, 6, 4 reps
	5.	Cardio Finisher — 15 min treadmill walk (2.5 mph, 6.0 incline)
.
.
.
.
.
@gymshark #girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation #girlpower",2025-07-19 00:17:02-07:00,1432,21,331,653,31327,29271,69,7,True,False,workout,0,Saturday,July,False,0.04571136719124078,0.000670348261882721,0.010565965461103841,0.020844638809972227
reel,"Strong leg day incoming 💥
	1.	Leg Extensions — 3 sets: 10, 6, 4 reps
	2.	Hack Squat — 3 sets: 10, 6, 4 reps
	3.	Leg Press — 3 sets: 10, 6, 4 reps
	4.	Calf Raises — 3 sets: 10, 6, 4 reps
	5.	Cardio Finisher — 15 min treadmill walk (2.5 mph, 6.0 incline)
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation #girlpower",2025-07-19 00:11:53-07:00,98,0,60,47,4037,4010,68,7,True,True,workout,0,Saturday,July,False,0.0242754520683676,0.0,0.014862521674510775,0.01164230864503344
reel,"Everyone always asks how I did it but no one ever asks why.

The truth is, I didn't change just for physical reasons. I changed because I was constantly surrounded by the wrong people.

My habits became unhealthy. My mindset became negative. And slowly, I started becoming someone I didn't recognize. And I knew if I didn't do something, I'd stay stuck.

So I decided to take control. To let go of the people and situations that were dragging me down. To create a space where I could grow and feel proud of who I was becoming.

Your environment is everything. Who you choose to surround yourself with shapes your mindset, your actions, and your future.

So choose people who make you better not bitter.",2025-07-18 00:41:51-07:00,62,0,20,29,3394,3259,125,0,True,True,other,0,Friday,July,True,0.018267530936947555,0.0,0.0058927519151443725,0.00854449027695934
reel,"Everyone always asks how I did it but no one ever asks why.

The truth is, I didn't change just for physical reasons. I changed because I was constantly surrounded by the wrong people.

My habits became unhealthy. My mindset became negative. And slowly, I started becoming someone I didn't recognize. And I knew if I didn't do something, I'd stay stuck.

So I decided to take control. To let go of the people and situations that were dragging me down. To create a space where I could grow and feel proud of who I was becoming.

Your environment is everything. Who you choose to surround yourself with shapes your mindset, your actions, and your future.

So choose people who make you better not bitter.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation #girlpower",2025-07-18 00:23:30-07:00,695,19,198,240,25354,24666,137,7,True,False,other,0,Friday,July,False,0.02741184822907628,0.0007493886566222293,0.007809418632168494,0.009465961978386053
reel,"Everyone always asks how I did it but no one ever asks why.

The truth is, I didn't change just for physical reasons. I changed because I was constantly surrounded by the wrong people.

My habits became unhealthy. My mindset became negative. And slowly, I started becoming someone I didn't recognize. And I knew if I didn't do something, I'd stay stuck.

So I decided to take control. To let go of the people and situations that were dragging me down. To create a space where I could grow and feel proud of who I was becoming.

Your environment is everything. Who you choose to surround yourself with shapes your mindset, your actions, and your future.

So choose people who make you better not bitter.",2025-07-18 00:20:44-07:00,33,0,9,11,1821,1811,125,0,True,True,other,0,Friday,July,True,0.018121911037891267,0.0,0.004942339373970346,0.0060406370126304225
reel,"Everyone always asks how I did it but no one ever asks why.

The truth is, I didn't change just for physical reasons. I changed because I was constantly surrounded by the wrong people.

My habits became unhealthy. My mindset became negative. And slowly, I started becoming someone I didn't recognize. And I knew if I didn't do something, I'd stay stuck.

So I decided to take control. To let go of the people and situations that were dragging me down. To create a space where I could grow and feel proud of who I was becoming.

Your environment is everything. Who you choose to surround yourself with shapes your mindset, your actions, and your future.

So choose people who make you better not bitter.",2025-07-18 00:19:21-07:00,40,0,20,5,2797,2776,125,0,True,True,other,0,Friday,July,True,0.014301036825169824,0.0,0.007150518412584912,0.001787629603146228
reel,"Everyone always asks how I did it but no one ever asks why.

The truth is, I didn't change just for physical reasons. I changed because I was constantly surrounded by the wrong people.

My habits became unhealthy. My mindset became negative. And slowly, I started becoming someone I didn't recognize. And I knew if I didn't do something, I'd stay stuck.

So I decided to take control. To let go of the people and situations that were dragging me down. To create a space where I could grow and feel proud of who I was becoming.

Your environment is everything. Who you choose to surround yourself with shapes your mindset, your actions, and your future.

So choose people who make you better not bitter.",2025-07-18 00:18:26-07:00,541,4,384,249,50376,50476,125,0,True,True,other,0,Friday,July,True,0.010739240908369065,7.940289026520565e-05,0.007622677465459742,0.004942829919009052
reel,"They'll see the body. The progress. The glow-up.
But they won't see the early mornings, the sore muscles, the skipped parties, or the days you showed up when you had every reason not to.

If you're in the middle of it right now, feeling tired or stuck, keep going. Every rep, every choice, every hard day is building something they'll never understand…
Until they see it.

It will be worth it. Stay locked in. 💪
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #weightlosstransformation",2025-07-17 00:38:48-07:00,789,18,315,321,31279,29650,84,5,True,False,other,0,Thursday,July,False,0.025224591579014674,0.0005754659675820838,0.010070654432686467,0.010262476421880495
reel,"You don't see the planning, the meal prep, the skipped nights out, or the days I trained when I had zero motivation.

You see the results.

You don't see the discipline it took to show up every single day.",2025-07-17 00:29:19-07:00,110,3,37,18,3547,3412,39,0,False,True,other,0,Thursday,July,False,0.031012122920778123,0.0008457851705666761,0.010431350436989005,0.005074711023400056
reel,"Best 4 exercises for perfectly round glutes 🍑 
1. Hip abduction 
2. Hip thrust 
3. Romanian deadlift (RDL)
4. Step ups 

Wearing the @gymshark @gymsharkwomen 
.
.
.
.
.
.
#gymshark #gymmotivation #gymsharkwoman #gym #girlswholift",2025-07-16 00:50:48-07:00,510,12,138,313,22805,21996,35,5,False,False,workout,0,Wednesday,July,False,0.02236351677263758,0.000526200394650296,0.006051304538478404,0.01372506029379522
reel,"Best 4 exercises for perfectly round glutes 🍑 
1. Hip abduction - 3 sets x 10, 8, 6
2. Hip thrust - 3 sets x 10, 8, 6
3. Romanian deadlift - 3 sets x 10, 8, 6 
4. Step ups - 4 sets x 10, 8, 6, 6 

Wearing the @gymshark @gymsharkwomen energized seamless leggings 
.
.
.
.
.
.
#gymshark #gymmotivation #gymsharkwoman #gym #girlswholift",2025-07-16 00:48:44-07:00,23,1,7,13,1389,1374,66,5,True,True,workout,0,Wednesday,July,False,0.01655867530597552,0.0007199424046076314,0.005039596832253419,0.009359251259899209
reel,"I get comments saying I looked better before the weight loss. But before, I was tired, insecure, and uncomfortable. I may look different now, but I've never felt more like myself.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation",2025-07-14 23:59:15-07:00,1267,36,412,757,52531,50066,42,6,False,False,transformation,23,Monday,July,False,0.024119091584017056,0.0006853096266966173,0.007842987949972397,0.014410538539148312
reel,"Yeah, I get those comments — 'you looked better before.' But before, I wasn't happy. Before, I was struggling. Before, I didn't feel like me. So no, I don't want to go back.",2025-07-14 23:46:19-07:00,1025,19,600,620,58211,57413,33,0,False,True,transformation,23,Monday,July,False,0.01760835580903953,0.00032639879060658637,0.010307330229681675,0.010650907904004399
reel,"GRWM for the night 💫 From no makeup to full glam, outfit, and all the little details. I love how it all came together. Feeling cute and ready to go 💋",2025-07-13 22:50:14-07:00,36,0,16,6,1805,1803,29,0,False,True,other,22,Sunday,July,True,0.019944598337950138,0.0,0.00886426592797784,0.0033240997229916896
reel,"GRWM for the night 💫 From no makeup to full glam, outfit, and all the little details. I love how it all came together. Feeling cute and ready to go 💋",2025-07-13 22:46:49-07:00,627,25,121,144,24525,23500,29,0,False,False,other,22,Sunday,July,True,0.025565749235474007,0.0010193679918450561,0.0049337410805300715,0.005871559633027523
reel,"GRWM for the night 💫 From no makeup to full glam, outfit, and all the little details. I love how it all came together. Feeling cute and ready to go 💋",2025-07-13 22:45:21-07:00,26,1,9,8,1896,1820,29,0,False,True,other,22,Sunday,July,True,0.013713080168776372,0.0005274261603375527,0.004746835443037975,0.004219409282700422
reel,"Proof that staying consistent, even when no one's watching, is what really changes you.
.
.
.
.
.
.
#girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation #girlpower",2025-07-12 00:27:28-07:00,670,17,141,181,28590,27359,27,7,False,False,other,0,Saturday,July,False,0.023434767401189226,0.0005946135012242043,0.004931794333683106,0.006330884924798881
reel,"I used to be so hard on myself, always feeling like I wasn't doing enough. But what I really needed wasn't perfection. It was consistency. Showing up, even on the days I didn't feel like it. Small wins, repeated daily. That's what got me here.
.
.
.
.
.
@gymshark @gymsharkwomen #girlswholift #gym #gymmotivation #womenwholift #gymlife #weightlosstransformation #girlpower",2025-07-12 00:09:20-07:00,74,1,27,25,3742,3696,59,7,True,True,other,0,Saturday,July,False,0.01977552111170497,0.0002672367717797969,0.007215392838054517,0.006680919294494923
reel,"Leg day? We wear pink 💕
Come train quads + hamstrings with me:
	1.	Hack Squat — 3 sets: 10, 8, 6 reps
	2.	Leg Press — 3 sets: 10, 8, 6 reps
	3.	Pendulum Squat — 3 sets: 10, 8, 6 reps
	4.	Leg Extensions — 3 sets: 10, 8, 6 reps
	5.	Cardio Finisher — Incline walk (6 incline, 2.5 mph, 15 min)

✨ Progress over perfection -> showing up, putting in the work, and getting stronger every week.

Wearing the @gymshark / @gymsharkwomen 
.
.
.
#LegDayWeWearPink #GluteDay #GirlsWhoLift #GymsharkWomen #LegDayWorkout #HamstringFocus #PinkGymFit #LowerBodyBurn #FitnessMotivation",2025-07-11 18:17:50-07:00,49,2,35,37,2580,2563,96,9,True,True,workout,18,Friday,July,True,0.018992248062015504,0.0007751937984496124,0.013565891472868217,0.01434108527131783
reel,"Leg day? We wear pink 💕
Come train quads + hamstrings with me:
	1.	Hack Squat — 3 sets: 10, 8, 6 reps
	2.	Leg Press — 3 sets: 10, 8, 6 reps
	3.	Pendulum Squat — 3 sets: 10, 8, 6 reps
	4.	Leg Extensions — 3 sets: 10, 8, 6 reps
	5.	Cardio Finisher — Incline walk (6 incline, 2.5 mph, 15 min)

✨ Progress over perfection -> showing up, putting in the work, and getting stronger every week.

Wearing the @gymshark / @gymsharkwomen 
.
.
.
#LegDayWeWearPink #GluteDay #GirlsWhoLift #GymsharkWomen #LegDayWorkout #HamstringFocus #PinkGymFit #LowerBodyBurn #FitnessMotivation",2025-07-11 01:14:19-07:00,2215,29,1457,1330,94498,93838,96,9,True,False,workout,1,Friday,July,True,0.02343964951639188,0.00030688480179474697,0.015418315731549875,0.014074371944379774
reel,"How I transformed my body as a full-time engineering student 👇
	1.	Ate in a calorie deficit with high-protein, whole foods
	2.	Trained 3–5x a week with a consistent, structured program
	3.	Walked 10k steps daily + 15–25 mins cardio post-workout
	4.	Stayed disciplined and consistent (that's what built results)

If you're a busy student or feel like you don't have time… you can still make progress. Start small, stay consistent, and trust the process 💪🏽
.
.
.
.
.
@gymshark @gymsharkwomen #girlswholift #gym #womenwholift #gymlife #weightlosstransformation",2025-07-09 23:51:41-07:00,628,26,204,293,26658,24111,86,5,True,False,recipe,23,Wednesday,July,True,0.02355765623827744,0.0009753169780178558,0.0076524870582939455,0.010991072098431991
reel,"How I transformed my body as a full-time engineering student 👇
	1.	Ate in a calorie deficit with high-protein, whole foods
	2.	Trained 3–5x a week with a consistent, structured program
	3.	Walked 10k steps daily + 15–25 mins cardio post-workout
	4.	Stayed disciplined and consistent (that's what built results)

If you're a busy student or feel like you don't have time… you can still make progress. Start small, stay consistent, and trust the process 💪🏽
.
.
.
.
.
@gymshark @gymsharkwomen #girlswholift #gym #womenwholift #gymlife #weightlosstransformation",2025-07-09 23:25:33-07:00,56,0,29,16,2950,2984,86,5,True,True,recipe,23,Wednesday,July,True,0.018983050847457626,0.0,0.00983050847457627,0.005423728813559322
reel,"Everyone asks how I did it, how I stayed so consistent, how I kept going when it got hard, how I changed my entire body in just 6 months.

The truth? It wasn't a secret workout or some perfect diet.
It was my mindset.

Once I committed mentally to showing up even on the hard days, to choosing discipline over motivation, to not giving up when progress felt slow, everything started to change.

When your mind is strong, your actions follow.
And when you stay consistent, your life transforms not just your body.

📍 Jan 1 – 148.8 lbs / 67.5 kg
📍 Jul 1 – 130.7 lbs / 59.3 kg
Total loss: 18.1 lbs / 8.2 kg 

What worked for me:
• Strength training 3–5x/week
• 10K steps/day + 15–25 min cardio after lifts
• 300–500 cal deficit depending on the goal
• 80/20 nutrition (progress > perfection)
• 100g+ protein daily
• 2–3L of water daily

Your mindset will always be your greatest strength. 💭💪

@gymshark @gymsharkwomen 
#fitnessjourney #girlswholift #transformationtuesday #mindsetmatters #disciplineovermotivation",2025-07-09 01:29:38-07:00,6,1,1,2,48,49,171,5,True,True,transformation,1,Wednesday,July,True,0.125,0.020833333333333332,0.020833333333333332,0.041666666666666664
